,HTEAM,HOME TEAM,HOME WIN,HOME POINTS,H MADE 2 POINTS,H TOTAL 2 POINTS,H MADE 3 POINTS,H TOTAL 3POINTS,H MADE 1 POINTS,H TOTAL 1 POINTS,H DEFENSIVE RREBOUNDS,H OFFENSIVE REBOUNDS,H TOTAL REBOUNDS,H ASSISTS,H STEALS,H TURNOVERS,H BLOCKS FOR,H BLCKS AGAINTS,H FOULS COMMITED,H FOULS RECEIVED,H PIR,H Q1,H Q2,H Q3,H Q4,H OVERTIME 1,H OVERITME 2,ATEAM,AWAY TEAM,AWAY WIN,AWAY POINTS,A MADE 2 POINTS,A TOTAL 2 POINTS,A MADE 3 POIMTS,A TOTAL 3 POINTS,A MADE 1 POINTS,A TOTAL 1 POINTS,A DEFFENSIVE REBOUNDS,A OFFENSIVE REBOUNDS,A TOTAL REBOUNDS,A ASSIST,A STEASL,A TURNOVERS,A BLOK FOR,A BLOCKS AGAINST,A FOULS COMMITED,A FOULS RECEIVED,A PIR,A Q1,A Q2,A Q3,A Q4,A OVERTIME 1,A OVERTIME 2
0,LUG,LUGANO SNAKES,1,75,25,47,6,16,7,13,21,15,36,3,16,17,0,0,24,20,71,21,17,16,21,0.0,0.0,ZAD,ZADAR,0,22,24,44,4,13,14,22,21,11,32,4,19,14,0,0,20,24,82,18,19,15,22,0.0,0.0
1,PAF,PAF BOLOGNA,1,91,22,44,5,15,32,44,25,11,36,8,21,10,2,5,24,33,108,19,30,22,20,0.0,0.0,ZAL,ZALGIRIS,0,20,14,31,13,27,18,23,28,8,36,9,10,17,5,2,33,24,81,22,27,16,20,0.0,0.0
2,CBE,ADECCO ESTUDIANTES,1,86,20,36,8,22,22,31,23,10,33,12,9,13,1,1,22,22,88,13,19,22,32,0.0,0.0,PER,PERISTERI,0,25,19,34,11,27,20,23,19,10,29,13,8,12,1,1,22,22,95,23,29,14,25,0.0,0.0
3,CHA,CHARLEROI,1,80,27,41,6,25,8,15,27,5,32,7,7,10,1,1,25,0,51,23,25,12,20,0.0,0.0,ZEN,ZENIT SAINT PETESBURG,0,14,20,42,3,13,19,25,25,7,32,5,2,14,1,1,21,0,34,19,20,15,14,0.0,0.0
4,AEK,AEK,1,78,21,35,6,16,18,35,22,14,36,12,8,19,1,2,25,30,78,24,15,27,12,0.0,0.0,BOL,VIRTUS BOLOGNA,0,22,19,36,9,24,12,19,17,12,29,8,8,18,2,1,30,25,61,15,21,19,22,0.0,0.0
5,CIB,CIBONA,1,62,16,31,4,16,18,28,19,7,26,5,11,19,3,1,23,25,52,15,13,20,14,0.0,0.0,BAS,BASKONIA,0,15,19,34,2,13,16,21,17,5,22,8,8,22,1,3,25,22,40,18,10,17,15,0.0,0.0
6,OVAR,OVARENSE AEROSOLES,1,82,21,33,8,23,16,26,21,9,30,8,9,20,0,1,25,24,70,25,20,19,18,0.0,0.0,HAP,HAPOEL JERUSALEM,0,18,26,48,7,13,21,27,22,9,31,4,16,16,1,0,23,23,96,27,28,21,18,0.0,0.0
7,REAL,REAL MADRID,1,75,30,55,1,7,12,22,27,13,40,11,10,14,3,6,25,22,75,19,18,16,22,0.0,0.0,OLY,OLYMPIAKOS,0,18,17,34,7,22,18,26,23,6,29,9,12,16,6,3,22,25,73,23,16,16,18,0.0,0.0
8,TRE,BENETTON TREVISO,1,69,17,34,5,13,20,34,23,6,29,11,20,18,3,2,19,29,83,15,23,17,14,0.0,0.0,LJU,UNION LJUBLJANA,0,6,22,36,7,18,6,13,25,6,31,10,21,19,2,3,29,19,71,27,24,14,6,0.0,0.0
9,LT,LONDON TOWERS,1,86,23,51,6,18,22,29,30,11,41,11,11,12,1,0,21,0,70,21,22,16,27,0.0,0.0,OPEL,OPEL SKYLINES,0,16,21,41,2,12,13,17,34,6,40,12,8,21,1,0,28,0,39,14,19,12,16,0.0,0.0
10,BUD,BUDUCNOST,1,77,21,34,6,28,17,22,17,7,24,6,7,8,1,8,20,18,57,19,25,17,16,0.0,0.0,BAR,BARCELONA,0,21,29,50,5,11,12,22,19,6,25,7,4,5,8,1,18,20,88,26,19,19,21,0.0,0.0
11,PAOK,PAOK,1,97,25,43,5,20,32,45,29,16,45,10,3,9,3,2,26,33,108,18,21,19,20,19.0,0.0,MUL,MULLER VERONA,0,15,20,40,10,31,24,27,25,8,33,9,5,7,2,3,34,25,80,16,23,24,15,16.0,0.0
